time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
79396.006219	12.586588	7.181564	1.752625	106
79397.409475	11.045812	7.197381	1.534699	107
79398.805122	11.171724	7.195940	1.552504	108
79400.192190	12.007276	7.175766	1.673309	109
79401.615145	12.245806	7.205863	1.699422	110
79402.988464	11.642919	7.190280	1.619258	111
79404.406311	13.726387	7.177851	1.912325	112
79405.782804	10.196565	7.174317	1.421259	113
79407.218713	10.803987	7.154554	1.510085	114
79408.576641	11.794669	7.188355	1.640802	115
79410.016460	11.756006	7.179225	1.637504	116
79411.378039	12.945814	7.200296	1.797956	117
79412.810995	10.749415	7.164656	1.500340	118
79414.176701	12.085536	7.195154	1.679677	119
79415.594000	11.316534	7.181849	1.575713	120
79416.988044	12.838219	7.192038	1.785060	121
79418.390406	11.322888	7.172242	1.578710	122
79419.792105	11.645027	7.189666	1.619690	123
79421.166497	11.512990	7.171719	1.605332	124
79422.592022	13.273328	7.198781	1.843830	125
79423.966788	9.778950	7.192470	1.359610	126
79425.399111	11.306611	7.200176	1.570324	127
79426.770837	10.725712	7.173903	1.495101	128
79428.188516	10.550056	7.181626	1.469034	129
79429.562856	11.838220	7.192610	1.645887	130
79430.989177	11.483856	7.184200	1.598488	131
79432.365980	11.772247	7.200702	1.634875	132
79433.777108	10.905925	7.201250	1.514449	133
79435.157082	11.038466	7.189371	1.535387	134
79436.570854	10.410030	7.155942	1.454739	135
79437.970079	11.232877	7.186081	1.563144	136
79439.359139	11.251798	7.182110	1.566642	137
79440.765240	11.109306	7.199125	1.543147	138
79442.148826	10.591757	7.170297	1.477171	139
79443.565178	10.349652	7.154738	1.446545	140
79444.948030	10.396663	7.199687	1.444044	141
79446.351388	12.170525	7.180504	1.694940	142
79447.738627	11.216331	7.201339	1.557534	143
79449.152073	11.178168	7.163797	1.560369	144
79450.553604	10.039375	7.187634	1.396757	145
79451.955318	9.935567	7.189560	1.381944	146
79453.339628	10.220695	7.190883	1.421341	147
79454.734892	11.017046	7.181595	1.534067	148
79456.143977	10.941781	7.168056	1.526464	149
79457.532330	10.572422	7.190024	1.470429	150
79458.957184	11.024202	7.189210	1.533437	151
79460.327772	9.270541	7.197361	1.288047	152
79461.735282	10.425833	7.173035	1.453476	153
79463.117767	10.276739	7.183692	1.430565	154
79464.536443	11.242622	7.190395	1.563561	155
79465.898658	11.011332	7.185294	1.532482	156
79467.346590	10.582407	7.171836	1.475551	157
79468.694994	10.246197	7.178515	1.427342	158
79470.130422	11.015797	7.170728	1.536217	159
79471.503757	9.380325	7.191216	1.304414	160
79472.924658	10.284828	7.188675	1.430699	161
79474.309169	9.487617	7.193323	1.318948	162
79475.707897	10.333311	7.199584	1.435265	163
79477.115868	9.695498	7.199186	1.346749	164
79478.511441	10.171391	7.186604	1.415327	165
79479.915661	10.144860	7.186964	1.411564	166
79481.280640	9.951534	7.191375	1.383815	167
79482.724596	9.170234	7.194079	1.274692	168
79484.071365	10.245468	7.199738	1.423034	169
79485.523833	10.298265	7.195201	1.431269	170
79486.874517	9.300503	7.192862	1.293018	171
79488.302765	10.131202	7.192917	1.408497	172
79489.676425	9.083078	7.194226	1.262551	173
79491.096443	10.206497	7.177966	1.421921	174
79492.468235	9.448293	7.191964	1.313729	175
79493.894831	9.401252	7.189853	1.307572	176
79495.273282	8.981011	7.194591	1.248301	177
79496.676718	9.960930	7.198342	1.383781	178
79498.071824	8.636371	7.176990	1.203342	179
79499.469684	10.638739	7.192247	1.479195	180
79500.850883	9.642228	7.165980	1.345556	181
79502.274485	9.806869	7.173399	1.367116	182
79503.649963	8.845402	7.190754	1.230108	183
79505.072730	9.482911	7.165336	1.323443	184
79506.449210	8.434593	7.180705	1.174619	185
79507.867330	9.985542	7.178578	1.391019	186
79509.240292	8.552691	7.183722	1.190565	187
79510.675690	8.700628	7.173417	1.212899	188
79512.033928	8.832951	7.197154	1.227284	189
79513.464676	8.951875	7.185108	1.245893	190
79514.832059	8.712721	7.194568	1.211014	191
79516.249255	8.967258	7.189695	1.247238	192
79517.623871	9.639661	7.187504	1.341169	193
79519.037889	8.496725	7.179932	1.183399	194
79520.431444	9.604134	7.171268	1.339252	195
79521.821201	8.653115	7.172858	1.206369	196
79523.233455	9.390153	7.144303	1.314355	197
79524.611714	8.327963	7.193508	1.157705	198
79526.032440	9.627944	7.172762	1.342292	199
79527.401965	8.301827	7.179361	1.156346	200
79528.840296	8.399766	7.198803	1.166828	201
79530.192948	8.655188	7.173624	1.206529	202
79531.622298	9.272502	7.195747	1.288609	203
79532.994343	8.332007	7.173399	1.161515	204
79534.421585	9.095168	7.170604	1.268396	205
79535.784745	8.589084	7.172707	1.197468	206
79537.228869	7.782767	7.173999	1.084858	207
79538.594747	7.499236	7.159521	1.047449	208
79540.009420	8.470565	7.173964	1.180737	209
79541.383223	8.364730	7.181178	1.164813	210
79542.800327	8.737540	7.195563	1.214296	211
79544.177425	8.315488	7.170551	1.159672	212
79545.592711	8.545037	7.172898	1.191295	213
79546.972704	8.075798	7.187381	1.123608	214
79548.397400	9.027013	7.183867	1.256568	215
79549.760302	8.723887	7.202792	1.211181	216
79551.194770	8.048960	7.176127	1.121630	217
79552.568999	7.339646	7.165471	1.024308	218
79553.972408	8.779499	7.180383	1.222706	219
79555.343206	8.754605	7.186152	1.218260	220
79556.771211	8.821258	7.174839	1.229471	221
79558.143915	8.065995	7.184732	1.122658	222
79559.564827	9.169971	7.183931	1.276456	223
79560.928414	8.466195	7.181521	1.178886	224
79562.368867	8.371646	7.180943	1.165814	225
79563.729798	7.584474	7.170665	1.057709	226
79565.156480	8.687114	7.188360	1.208497	227
79566.542773	7.534063	7.194209	1.047240	228
79567.960680	7.753656	7.179678	1.079945	229
79569.321094	7.860866	7.183598	1.094280	230
79570.729537	9.401873	7.196321	1.306483	231
79572.128320	7.451593	7.177156	1.038238	232
79573.536722	7.712777	7.186975	1.073161	233
79574.936118	7.132812	7.188281	0.992284	234
79576.315511	7.765681	7.178520	1.081794	235
79577.725740	7.796221	7.165349	1.088045	236
79579.097061	8.615522	7.188075	1.198586	237
79580.518497	8.668648	7.193797	1.205017	238
79581.891041	7.820078	7.177238	1.089566	239
79583.328124	9.004081	7.195241	1.251394	240
79584.676357	8.279661	7.194677	1.150804	241
79586.127718	7.082090	7.171274	0.987564	242
79587.473840	8.005879	7.177314	1.115442	243
79588.912145	7.723978	7.184101	1.075149	244
79590.267293	8.371563	7.186216	1.164947	245
79591.689546	8.998449	7.167129	1.255517	246
79593.076622	7.203595	7.171857	1.004425	247
79594.494080	8.238901	7.194221	1.145211	248
79595.864793	7.436742	7.168746	1.037384	249
79597.275230	8.654396	7.166399	1.207635	250
79598.663298	7.262460	7.178937	1.011634	251
79600.088600	7.501797	7.175113	1.045530	252
79601.455457	7.286394	7.192035	1.013120	253
79602.884895	7.635182	7.173361	1.064380	254
79604.247011	7.212533	7.191024	1.002991	255
79605.674492	7.901649	7.169518	1.102117	0
79607.039978	7.079540	7.189264	0.984738	1
79608.471968	7.332219	7.173580	1.022114	2
79609.829138	7.474423	7.177717	1.041337	3
79611.259425	7.582708	7.184696	1.055397	4
79612.623577	7.919296	7.186497	1.101969	5
79614.054614	7.397446	7.192075	1.028555	6
79615.422104	7.875701	7.186749	1.095864	7
79616.828830	7.845252	7.179421	1.092742	8
79618.226028	7.585237	7.180255	1.056402	9
79619.622941	7.348820	7.194232	1.021488	10
79621.027853	7.654384	7.164866	1.068322	11
79622.420843	6.757775	7.167339	0.942857	12
79623.827020	7.836696	7.185793	1.090582	13
79625.208033	6.512799	7.196028	0.905055	14
79626.633751	7.114748	7.185506	0.990153	15
79628.001811	6.128043	7.171189	0.854537	16
79629.432702	8.006196	7.183008	1.114602	17
79630.792223	6.468129	7.170730	0.902018	18
79632.218392	7.548461	7.184704	1.050629	19
79633.585133	6.642737	7.177547	0.925489	20
79635.014781	7.265478	7.180252	1.011870	21
79636.375166	6.892025	7.186590	0.959012	22
79637.805144	7.379193	7.158142	1.030881	23
79639.174082	6.330454	7.174858	0.882311	24
79640.596178	7.480630	7.189026	1.040562	25
79641.967095	6.446132	7.180247	0.897759	26
79643.381186	8.117301	7.167699	1.132483	27
79644.768213	7.074759	7.167958	0.986998	28
79646.184670	7.480969	7.200057	1.039015	29
79647.560116	6.001986	7.188869	0.834900	30
79648.977324	7.467568	7.196609	1.037651	31
79650.348556	6.329469	7.192285	0.880036	32
79651.771554	7.517845	7.173996	1.047930	33
79653.133768	6.883196	7.176364	0.959148	34
79654.560772	7.796160	7.184110	1.085195	35
79655.932911	6.464208	7.170348	0.901520	36
79657.355731	7.592973	7.176764	1.057994	37
79658.725936	6.667173	7.195741	0.926544	38
79660.149989	7.308944	7.143742	1.023125	39
79661.528020	6.238533	7.181475	0.868698	40
79662.940295	7.164415	7.166212	0.999749	41
79664.332058	6.100682	7.192098	0.848248	42
79665.728026	7.073550	7.186420	0.984294	43
79667.132221	7.192302	7.190858	1.000201	44
79668.507506	7.436010	7.169655	1.037151	45
79669.913930	7.372487	7.163929	1.029112	46
79671.296576	7.242259	7.170515	1.010005	47
79672.721716	6.969687	7.186502	0.969830	48
79674.091351	6.747455	7.176558	0.940208	49
79675.511569	7.470690	7.178455	1.040710	50
79676.886915	6.381259	7.200436	0.886232	51
79678.315858	6.758202	7.153691	0.944715	52
79679.678517	6.531853	7.203119	0.906809	53
79681.110940	6.650381	7.186722	0.925371	54
79682.469171	6.633815	7.168390	0.925426	55
79683.902976	6.742643	7.169055	0.940521	56
79685.253872	7.409979	7.167494	1.033831	57
79686.691155	7.084489	7.170663	0.987983	58
79688.060133	6.407485	7.183451	0.891979	59
79689.484976	6.889651	7.193563	0.957752	60
79690.845774	7.035536	7.184554	0.979259	61
79692.276408	7.004055	7.171305	0.976678	62
79693.646661	6.529492	7.176513	0.909842	63
79695.077583	6.539128	7.187199	0.909830	64
79696.439688	6.403180	7.169086	0.893166	65
79697.866029	6.983811	7.174969	0.973358	66
79699.237044	6.101049	7.178209	0.849940	67
79700.672761	6.046340	7.192741	0.840617	68
79702.012630	7.414631	7.174704	1.033441	69
